Rule,URL,Section Name,Page Name,Page Views
EndsWith,stevens.edu/sit/registrar/room-reservation.cfm,Registrar,Room Reservations,1861
Contains,stevens.edu/sit/registrar/schedule,Registrar,Schedule,598
EndsWith,stevens.edu/sit/registrar/staff.cfm,Registrar,Staff,131
EndsWith,stevens.edu/sit/registrar/web-for-faculty.cfm,Registrar,Web for Faculty,2328
EndsWith,stevens.edu/sit/registrar/web-for-students.cfm,Registrar,Web for Students,7364
EndsWith,stevens.edu/research/research.html,Research,About,5795
EndsWith,stevens.edu/osr/animals/statement.html,Research,Animals,226
EndsWith,stevens.edu/research/centers.html,Research,Centers,3926
EndsWith,stevens.edu/research/contact.html,Research,Contact,1051
EndsWith,stevens.edu/osr/contact.html,Research,Contact,197
EndsWith,stevens.edu/osr/director.html,Research,Director,248
Contains,stevens.edu/osr/fsc/,Research,Faculty Support,1021
EndsWith,stevens.edu/osr/forms/,Research,Forms,357
StartsWith,research.stevens.edu/,Research,Home,4693
Contains,stevens.edu/research/,Research,Home,11043
Contains,stevens.edu/osr/,Research,Home,4773
Contains,stevens.edu/osr/humans/,Research,Humans,394
StartsWith,research.stevens.edu/mobile/,Research,Mobile,65
Contains,stevens.edu/research/mobile/,Research,Mobile,328
Contains,stevens.edu/research/multiscale.php,Research,MultiScale Imaging,3160
StartsWith,research.stevens.edu/nano,Research,Nano,182
StartsWith,research.stevens.edu/news,Research,News,58
Contains,stevens.edu/research/news.php,Research,News,2313
Contains,stevens.edu/research/single_news,Research,News,138
Contains,stevens.edu/osr/new/index.html,Research,News,124
Wildcard,research.stevens.edu/*rid,Research,People,36
Wildcard,stevens.edu/research/*rid,Research,People,182
Contains,stevens.edu/osr/postaward/,Research,Post Awards,299
Contains,stevens.edu/research/research_profile,Research,Profile,204
StartsWith,research.stevens.edu/index.php/,Research,Project,547
Contains,stevens.edu/osr/resources/federal/,Research,Resources,109
Equals,research.stevens.edu/robotics/topic,Research,Robotics,138
Contains,stevens.edu/research/security,Research,Security,1058
Contains,stevens.edu/osr/sharp/,Research,Sharp,116
Contains,stevens.edu/research/systems.php,Research,Systems,1072
StartsWith,research.stevens.edu/systems-security,Research,Systems Security,1306
Equals,research.stevens.edu/tissue-engineering/topic,Research,Tissue Engineering,145
StartsWith,sse.stevens.edu/about_sse/,Systems,About,116
StartsWith,sse.stevens.edu/about-sse/,Systems,About,21
Equals,sse.stevens.edu/?id=933,Systems,Academics,729
StartsWith,sse.stevens.edu/academics/,Systems,Academics,21
StartsWith,sse.stevens.edu/nc/academics/graduate/,Systems,Academics,14
StartsWith,sse.stevens.edu/admissions/,Systems,Admissions,29
StartsWith,sse.stevens.edu/asem/,Systems,ASEM,14
StartsWith,sse.stevens.edu/cal/,Systems,Calendar,7
StartsWith,sse.stevens.edu/community/,Systems,Community,36
StartsWith,sse.stevens.edu/pages/contact-us/,Systems,Contact,14
StartsWith,sse.stevens.edu/deansseminar/,Systems,Dean's Seminar,43
StartsWith,sse.stevens.edu/eme/bylaws/,Systems,EME,7
StartsWith,sse.stevens.edu/events/,Systems,Events,7
StartsWith,sse.stevens.edu/FE/,Systems,Financial Engineering,145
Equals,sse.stevens.edu/,Systems,Home,36918
StartsWith,sse.stevens.edu/index.php,Systems,Home,65
StartsWith,sse.stevens.edu/incose/,Systems,Incose,21
StartsWith,sse.stevens.edu/infrastructure/,Systems,Infrastructure Systems,80
StartsWith,sse.stevens.edu/nc/about-SSE/news-and-events/events/,Systems,News Center,335
StartsWith,sse.stevens.edu/partnerships/,Systems,Partnerships,29
StartsWith,sse.stevens.edu/nc/people/,Systems,People,2759
StartsWith,sse.stevens.edu/people/,Systems,People,7
StartsWith,sse.stevens.edu/portal/calendar/,Systems,Portal,43
StartsWith,sse.stevens.edu/research/,Systems,Research,51
StartsWith,sse.stevens.edu/sdoe/,Systems,SDOE,708
StartsWith,sse.stevens.edu/se-competition/,Systems,SE Competition,80
StartsWith,sse.stevens.edu/about-sse/search-sse-site/,Systems,Search,7
StartsWith,sse.stevens.edu/pages/sitemap/,Systems,SiteMap,131
StartsWith,sse.stevens.edu/software/,Systems,Software,124
StartsWith,sse.stevens.edu/space/,Systems,Space,204
StartsWith,sse.stevens.edu/systems/,Systems,Systems Engineering,7
StartsWith,sse.stevens.edu/pages/webmaster/,Systems,Webmaster,36
Contains,stevens.edu/ses,Engineering,Other,
EndsWith,stevens.edu/sit/trustees/board-of-trustees.cfm,Provost,Board,452
EndsWith,stevens.edu/sit/trustees/general-counsel.cfm,Provost,General Counsel,934
EndsWith,stevens.edu/sit/trustees/governance-documents.cfm,Provost,Governance,620
EndsWith,stevens.edu/sit/trustees/,Provost,Home,153
EndsWith,stevens.edu/sit/trustees/index.cfm,Provost,Home,7204
EndsWith,stevens.edu/sit/trustees/members.cfm,Provost,Members,985
EndsWith,stevens.edu/sit/trustees/trustee-profiles.cfm,Provost,Profiles,1131
